track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
7LdTalCN5cwD2XHTzuYufv,Raise Your Hands - Radio Edit,266142,2,"['edm', 'big room']",4B0E4mJA0NB9kZ2mayW3eY,Raise Your Hands (Radio Edit),,,['7e1BNCygl2Gf7CX8LrByPv'],['Ummet Ozcan'],,266.142,67PaYmoZUrRaSXaWEIJglP
3m4vB0q02q4xvBenENEkLw,No Heroes (feat. Luciana),245002,48,"['future house', 'big room', 'slap house', 'electronica', 'melbourne bounce', 'electro house', 'edm']",0o5FMj2LepZb7fZ6CNAxe3,No Heroes (feat. Luciana),2014-09-05,,"['53YSn9tHwGJ6bq5P0gGoYo', '2wX6xSig4Rig5kZU6ePlWe', '4ugGMtXC28CVR5hlYJy9wV']","['Firebeatz', 'KSHMR', 'Luciana']",2014.0,245.002,67PaYmoZUrRaSXaWEIJglP
076jREnPu9sinABTfdw9Xi,Calabria - Firebeatz Remix,221250,1,"['electro house', 'edm', 'future house', 'big room']",6mhzvpz4HEmj9fSPFGRMoc,Calabria (Firebeatz Remix),2014-10-27,,"['32ejcIBfk6cbs473H0LlBE', '53YSn9tHwGJ6bq5P0gGoYo']","['Rune RK', 'Firebeatz']",2014.0,221.25,67PaYmoZUrRaSXaWEIJglP
2k0waIY8BXP3kakHgwwHaC,Voodoo - Original Mix,273832,0,"['electronica', 'future house', 'big room', 'edm']",5RAG02f5Yk7BVko23RL4BT,EDMXXL The Best of DVBBS,2016-01-18,,"['5X4LWwbUFNzPkEas04uU82', '12SPNXi0aDpFt0rMVbmLrr']","['DVBBS', 'Jay Hardway']",2016.0,273.832,67PaYmoZUrRaSXaWEIJglP
1CT9ebtobcouQw7G9mZ9AV,Helicopter - Video Edit,206449,52,"['future house', 'big room', 'electronica', 'progressive house', 'electro house', 'edm']",2vVYOsPwDIDRigcmvqDlRF,Helicopter (Video Edit),2014-03-10,,"['60d24wfXkVzDSfLS6hyCjZ', '53YSn9tHwGJ6bq5P0gGoYo']","['Martin Garrix', 'Firebeatz']",2014.0,206.449,67PaYmoZUrRaSXaWEIJglP
55rHrbCJdcjw7sCOWpYVt5,Move - Showtek Radio Edit,190602,27,"['bass house', 'future house', 'big room', 'electronica', 'hardstyle', 'electro house', 'edm']",2JYO2igLvRbxp0DcY702xs,Move (Showtek Edit),2015-04-20,,"['6eUtrZgzxqbV7zMxzN3Sz2', '3gk0OYeLFWYupGFRHqLSR7']","['twoloud', 'Showtek']",2015.0,190.602,67PaYmoZUrRaSXaWEIJglP
2w6M0lfuDVB5eWxm5L3rnC,Big Bang - 2015 Life In Color Anthem; Radio Edit,190429,35,"['edm', 'big room']",2VcI5AotBrZ0psLXLVlajC,Big Bang (2015 Life In Color Anthem; Radio Edit),2015-04-27,,"['4uiMn2g0pgTrhN096QJhbp', '4JprKwueQv8ws3n7N8BLVC']","['Borgeous', 'SOLANO']",2015.0,190.429,67PaYmoZUrRaSXaWEIJglP
4FVcGYFGstfGbL4aZZkqIc,Dead Mans Hand,255000,37,"['electronica', 'edm', 'big room', 'slap house']",6Ge0sTvsG2N3QfBCxt4eIM,Dead Mans Hand,2015-02-09,,['2wX6xSig4Rig5kZU6ePlWe'],['KSHMR'],2015.0,255.0,67PaYmoZUrRaSXaWEIJglP
08ZcJN45zSSzemGG6FirCv,All Night,258750,34,['future house'],3BRCBoAKHHifKhxSTFm74j,All Night,2015-03-23,,"['2vVNxGBvKRQMWwI5c8KmYh', '2PJ1vRlkfKUxNzkNqYlalv']","['Tujamo', 'Jacob Plant']",2015.0,258.75,67PaYmoZUrRaSXaWEIJglP
69JBtHvvmGPdMOZEKXxLci,Beast,296359,23,"['progressive house', 'big room', 'edm']",1LltHjdnzyMQl4cLuVEhGV,Beast,2014-07-28,,"['1XLjkBxFokuDTlHt0mQkRe', '4uiMn2g0pgTrhN096QJhbp']","['Thomas Gold', 'Borgeous']",2014.0,296.359,67PaYmoZUrRaSXaWEIJglP
